"";"Фамилия";"ДатаРазмещения";"стоимость";"Марка";"Категория";"Клиент";"СтранаПолучателя";"СтранаПоставщика";"Цена"
"57";"Бабкина";1997-09-25;1079,99999821186;"Laughing Lumberjack Lager";"Напитки";"Great Lakes Food Market";"США";"США";630
"58";"Воронова";1997-10-24;500;"Laughing Lumberjack Lager";"Напитки";"Rancho grande";"Аргентина";"США";630
"59";"Белова";1997-10-24;3039,99999761581;"Laughing Lumberjack Lager";"Напитки";"Frankenversand";"Германия";"США";630
"60";"Крылова";1997-11-04;3000;"Laughing Lumberjack Lager";"Напитки";"LINO-Delicateses";"Венесуэлла";"США";630
"61";"Кралев";1997-11-06;3799,99999701977;"Laughing Lumberjack Lager";"Напитки";"Chop-suey Chinese";"Швейцария";"США";630
"62";"Бабкина";1997-12-03;4000;"Laughing Lumberjack Lager";"Напитки";"Folies gourmandes";"Франция";"США";630
"63";"Воронова";1998-01-30;4000;"Laughing Lumberjack Lager";"Напитки";"White Clover Markets";"США";"США";630
"64";"Воронова";1998-02-06;2000;"Laughing Lumberjack Lager";"Напитки";"Wilman Kala";"Финляндия";"США";630
"65";"Воронова";1998-02-12;3799,99999701977;"Laughing Lumberjack Lager";"Напитки";"Let's Stop N Shop";"США";"США";630
"66";"Акбаев";1998-03-05;6000;"Laughing Lumberjack Lager";"Напитки";"Frankenversand";"Германия";"США";630
"67";"Воронова";1998-03-06;3600;"Laughing Lumberjack Lager";"Напитки";"Supremes delices";"Бельгия";"США";630
"68";"Акбаев";1998-03-17;1200;"Laughing Lumberjack Lager";"Напитки";"Blauer See Delikatessen";"Германия";"США";630
"69";"Ясенева";1998-03-26;3399,99997615814;"Laughing Lumberjack Lager";"Напитки";"Maison Dewey";"Бельгия";"США";630
"70";"Новиков";1998-04-01;6500;"Laughing Lumberjack Lager";"Напитки";"Ernst Handel";"Австрия";"США";630
"71";"Крылова";1998-04-20;1349,99999776483;"Laughing Lumberjack Lager";"Напитки";"Old World Delicatessen";"США";"США";630
"72";"Воронова";1998-04-22;2000;"Laughing Lumberjack Lager";"Напитки";"Great Lakes Food Market";"США";"США";630
"73";"Ясенева";1998-04-29;300;"Laughing Lumberjack Lager";"Напитки";"Blauer See Delikatessen";"Германия";"США";630
"74";"Кротов";1996-07-11;458,999996781349;"Outback Lager";"Напитки";"Chop-suey Chinese";"Швейцария";"Австралия";675
"75";"Белова";1996-08-07;410,399999678135;"Outback Lager";"Напитки";"Magazzini Alimentari Riuniti";"Италия";"Австралия";675
"76";"Новиков";1996-08-14;432;"Outback Lager";"Напитки";"Berglunds snabbkop";"Швеция";"Австралия";675
"77";"Воронова";1996-08-14;216;"Outback Lager";"Напитки";"Romero y tomillo";"Испания";"Австралия";675
"78";"Белова";1996-08-29;360;"Outback Lager";"Напитки";"Tortuga Restaurante";"Мексика";"Австралия";675
"79";"Бабкина";1996-11-12;360;"Outback Lager";"Напитки";"Furia Bacalhau e Frutos do Mar";"Португалия";"Австралия";675
"80";"Акбаев";1996-11-15;900;"Outback Lager";"Напитки";"Around the Horn";"Великобритания";"Австралия";675
"81";"Кротов";1996-11-20;341,999999731779;"Outback Lager";"Напитки";"La maison d'Asie";"Франция";"Австралия";675
"82";"Ясенева";1996-12-18;540;"Outback Lager";"Напитки";"Familia Arquibaldo";"Бразилия";"Австралия";675
"83";"Белова";1996-12-18;540;"Outback Lager";"Напитки";"Santu Gourmet";"Норвегия";"Австралия";675
"84";"Акбаев";1997-02-14;647,999998927116;"Outback Lager";"Напитки";"Toms Spezialitaten";"Германия";"Австралия";675
"85";"Белова";1997-03-05;900;"Outback Lager";"Напитки";"Vaffeljernet";"Дания";"Австралия";675
"86";"Крылова";1997-03-06;1008;"Outback Lager";"Напитки";"Magazzini Alimentari Riuniti";"Италия";"Австралия";675
"87";"Крылова";1997-03-12;2735,99999785423;"Outback Lager";"Напитки";"Seven Seas Imports";"Великобритания";"Австралия";675
"88";"Крылова";1997-04-07;630;"Outback Lager";"Напитки";"HILARION-Abastos";"Венесуэлла";"Австралия";675
"89";"Кралев";1997-04-21;382,499997317791;"Outback Lager";"Напитки";"Familia Arquibaldo";"Бразилия";"Австралия";675
"90";"Воронова";1997-04-25;225;"Outback Lager";"Напитки";"Tortuga Restaurante";"Мексика";"Австралия";675
"91";"Кралев";1997-04-29;360;"Outback Lager";"Напитки";"Santu Gourmet";"Норвегия";"Австралия";675
"92";"Новиков";1997-05-19;1417,49999765307;"Outback Lager";"Напитки";"Hanari Carnes";"Бразилия";"Австралия";675
"93";"Акбаев";1997-06-02;647,999997586012;"Outback Lager";"Напитки";"Save-a-lot Markets";"США";"Австралия";675
"94";"Крылова";1997-06-11;1012,49999832362;"Outback Lager";"Напитки";"Mere Paillarde";"Канада";"Австралия";675
"95";"Кралев";1997-07-11;1259,99999530613;"Outback Lager";"Напитки";"Piccolo und mehr";"Австрия";"Австралия";675
"96";"Новиков";1997-08-05;225;"Outback Lager";"Напитки";"Laughing Bacchus Wine Cellars";"Канада";"Австралия";675
"97";"Крылова";1997-08-07;135;"Outback Lager";"Напитки";"Frankenversand";"Германия";"Австралия";675
"98";"Кротов";1997-08-28;573,749995976686;"Outback Lager";"Напитки";"Ricardo Adocicados";"Бразилия";"Австралия";675
"99";"Кралев";1997-10-07;900;"Outback Lager";"Напитки";"Wilman Kala";"Финляндия";"Австралия";675
"100";"Акбаев";1997-10-14;1575;"Outback Lager";"Напитки";"Queen Cozinha";"Бразилия";"Австралия";675
"101";"Бабкина";1997-12-03;900;"Outback Lager";"Напитки";"Folies gourmandes";"Франция";"Австралия";675
"102";"Ясенева";1997-12-26;764,999994635582;"Outback Lager";"Напитки";"Koniglich Essen";"Германия";"Австралия";675
"103";"Белова";1998-01-29;1350;"Outback Lager";"Напитки";"Frankenversand";"Германия";"Австралия";675
"104";"Кротов";1998-02-03;202,5;"Outback Lager";"Напитки";"Berglunds snabbkop";"Швеция";"Австралия";675
"105";"Крылова";1998-02-12;360;"Outback Lager";"Напитки";"Lonesome Pine Restaurant";"США";"Австралия";675
"106";"Акбаев";1998-02-12;540;"Outback Lager";"Напитки";"Supremes delices";"Бельгия";"Австралия";675
"107";"Ясенева";1998-02-18;450;"Outback Lager";"Напитки";"Koniglich Essen";"Германия";"Австралия";675
"108";"Бабкина";1998-02-18;4950;"Outback Lager";"Напитки";"Ernst Handel";"Австрия";"Австралия";675
"109";"Кротов";1998-03-03;1575;"Outback Lager";"Напитки";"Hanari Carnes";"Бразилия";"Австралия";675
"110";"Белова";1998-03-12;1125;"Outback Lager";"Напитки";"Vaffeljernet";"Дания";"Австралия";675
"111";"Бабкина";1998-03-19;337,5;"Outback Lager";"Напитки";"HILARION-Abastos";"Венесуэлла";"Австралия";675
"112";"Белова";1998-03-23;1350;"Outback Lager";"Напитки";"Ernst Handel";"Австрия";"Австралия";675
"113";"Крылова";1998-03-26;3600;"Outback Lager";"Напитки";"Ernst Handel";"Австрия";"Австралия";675
"114";"Белова";1998-03-30;900;"Outback Lager";"Напитки";"Save-a-lot Markets";"США";"Австралия";675
"115";"Крылова";1998-04-03;540;"Outback Lager";"Напитки";"Wolski  Zajazd";"Польша";"Австралия";675
"116";"Новиков";1998-04-06;1012,5;"Outback Lager";"Напитки";"Rattlesnake Canyon Grocery";"США";"Австралия";675
"117";"Новиков";1998-04-08;540;"Outback Lager";"Напитки";"Godos Cocina Tipica";"Испания";"Австралия";675
"118";"Новиков";1998-04-09;450;"Outback Lager";"Напитки";"Reggiani Caseifici";"Италия";"Австралия";675
"119";"Белова";1998-04-16;1012,5;"Outback Lager";"Напитки";"Bottom-Dollar Markets";"Канада";"Австралия";675
"120";"Акбаев";1998-04-17;945;"Outback Lager";"Напитки";"Save-a-lot Markets";"США";"Австралия";675
"121";"Кралев";1998-04-27;359,999998658895;"Outback Lager";"Напитки";"La maison d'Asie";"Франция";"Австралия";675
"122";"Кралев";1998-04-28;675;"Outback Lager";"Напитки";"HILARION-Abastos";"Венесуэлла";"Австралия";675
"123";"Новиков";1998-05-05;900;"Outback Lager";"Напитки";"Pericles Comidas clasicas";"Мексика";"Австралия";675
"124";"Крылова";1996-07-30;9900;"Rhonbrau Klosterbier";"Напитки";"GROSELLA-Restaurante";"Венесуэлла";"Германия";348,75
"125";"Крылова";1996-08-27;14850;"Rhonbrau Klosterbier";"Напитки";"Comercio Mineiro";"Бразилия";"Германия";348,75
"126";"Крылова";1996-09-13;22274,9999631196;"Rhonbrau Klosterbier";"Напитки";"Old World Delicatessen";"США";"Германия";348,75
"127";"Крылова";1996-11-14;3960;"Rhonbrau Klosterbier";"Напитки";"Pericles Comidas clasicas";"Мексика";"Германия";348,75
"128";"Воронова";1996-11-22;34650;"Rhonbrau Klosterbier";"Напитки";"Blondel pere et fils";"Франция";"Германия";348,75
"129";"Крылова";1996-12-02;19800;"Rhonbrau Klosterbier";"Напитки";"Split Rail Beer & Ale";"США";"Германия";348,75
"130";"Воронова";1996-12-13;13860;"Rhonbrau Klosterbier";"Напитки";"Ernst Handel";"Австрия";"Германия";348,75
"131";"Белова";1997-01-01;20790;"Rhonbrau Klosterbier";"Напитки";"Eastern Connection";"Великобритания";"Германия";348,75
"132";"Воронова";1997-02-10;20195,9998583794;"Rhonbrau Klosterbier";"Напитки";"Save-a-lot Markets";"США";"Германия";348,75
"133";"Белова";1997-03-05;16037,9999734461;"Rhonbrau Klosterbier";"Напитки";"Vaffeljernet";"Дания";"Германия";348,75
"134";"Акбаев";1997-04-18;44564,4;"Rhonbrau Klosterbier";"Напитки";"Save-a-lot Markets";"США";"Германия";348,75
"135";"Новиков";1997-06-30;12379;"Rhonbrau Klosterbier";"Напитки";"Wartian Herkku";"Финляндия";"Германия";348,75
"136";"Воронова";1997-08-07;7427,4;"Rhonbrau Klosterbier";"Напитки";"The Cracker Box";"США";"Германия";348,75
"137";"Воронова";1997-08-12;24758;"Rhonbrau Klosterbier";"Напитки";"Godos Cocina Tipica";"Испания";"Германия";348,75
"138";"Кралев";1997-09-12;44564,4;"Rhonbrau Klosterbier";"Напитки";"Richter Supermarkt";"Швейцария";"Германия";348,75
"139";"Ясенева";1997-09-30;12379;"Rhonbrau Klosterbier";"Напитки";"Hungry Owl All-Night Grocers";"Ирландия";"Германия";348,75
"140";"Новиков";1997-10-03;49516;"Rhonbrau Klosterbier";"Напитки";"QUICK-Stop";"Германия";"Германия";348,75
"141";"Воронова";1997-10-09;14112,0599889323;"Rhonbrau Klosterbier";"Напитки";"Ernst Handel";"Австрия";"Германия";348,75
"142";"Бабкина";1997-12-10;22282,2;"Rhonbrau Klosterbier";"Напитки";"Lehmanns Marktstand";"Германия";"Германия";348,75
"143";"Новиков";1997-12-19;23520,0999815539;"Rhonbrau Klosterbier";"Напитки";"La maison d'Asie";"Франция";"Германия";348,75
"144";"Акбаев";1997-12-23;16464,0699870877;"Rhonbrau Klosterbier";"Напитки";"Frankenversand";"Германия";"Германия";348,75
"145";"Воронова";1997-12-29;18568,5;"Rhonbrau Klosterbier";"Напитки";"Bolido Comidas preparadas";"Испания";"Германия";348,75
"146";"Белова";1998-01-15;9408,03999262154;"Rhonbrau Klosterbier";"Напитки";"Tradiero Hipermercados";"Бразилия";"Германия";348,75
"147";"Крылова";1998-01-28;9284,25;"Rhonbrau Klosterbier";"Напитки";"Berglunds snabbkop";"Швеция";"Германия";348,75
"148";"Ясенева";1998-02-18;29709,6;"Rhonbrau Klosterbier";"Напитки";"Koniglich Essen";"Германия";"Германия";348,75
"149";"Бабкина";1998-02-19;99032;"Rhonbrau Klosterbier";"Напитки";"Hungry Owl All-Night Grocers";"Ирландия";"Германия";348,75
"150";"Новиков";1998-02-26;55705,5;"Rhonbrau Klosterbier";"Напитки";"Hungry Owl All-Night Grocers";"Ирландия";"Германия";348,75
"151";"Новиков";1998-03-24;17330,6;"Rhonbrau Klosterbier";"Напитки";"France restauration";"Франция";"Германия";348,75
"152";"Кралев";1998-04-01;46421,25;"Rhonbrau Klosterbier";"Напитки";"Folk och fa HB";"Швеция";"Германия";348,75
"153";"Бабкина";1998-04-07;1856,85;"Rhonbrau Klosterbier";"Напитки";"Great Lakes Food Market";"США";"Германия";348,75
"154";"Крылова";1998-04-08;12379;"Rhonbrau Klosterbier";"Напитки";"Princesa Isabel Vinhos";"Португалия";"Германия";348,75
"155";"Кралев";1998-04-17;55705,5;"Rhonbrau Klosterbier";"Напитки";"Save-a-lot Markets";"США";"Германия";348,75
"156";"Воронова";1996-08-15;1242;"Lakkalikoori";"Напитки";"Romero y tomillo";"Испания";"Финляндия";810
"157";"Белова";1996-09-16;2070;"Lakkalikoori";"Напитки";"Romero y tomillo";"Испания";"Финляндия";810
"158";"Новиков";1996-10-11;5795,99997840822;"Lakkalikoori";"Напитки";"Folk och fa HB";"Швеция";"Финляндия";810
"159";"Воронова";1996-10-15;1573,19999876618;"Lakkalikoori";"Напитки";"Split Rail Beer & Ale";"США";"Финляндия";810
"160";"Воронова";1996-10-25;3105;"Lakkalikoori";"Напитки";"Old World Delicatessen";"США";"Финляндия";810
"161";"Крылова";1996-12-12;3353,39999444783;"Lakkalikoori";"Напитки";"Hungry Owl All-Night Grocers";"Ирландия";"Финляндия";810
"162";"Белова";1997-01-01;3726;"Lakkalikoori";"Напитки";"Rattlesnake Canyon Grocery";"США";"Финляндия";810
"163";"Белова";1997-02-28;4347;"Lakkalikoori";"Напитки";"LILA-Supermercado";"Венесуэлла";"Финляндия";810
"164";"Бабкина";1997-03-07;1656;"Lakkalikoori";"Напитки";"Koniglich Essen";"Германия";"Финляндия";810
"165";"Воронова";1997-04-30;4142,39998456836;"Lakkalikoori";"Напитки";"Lehmanns Marktstand";"Германия";"Финляндия";810
"166";"Белова";1997-05-01;2589;"Lakkalikoori";"Напитки";"Blauer See Delikatessen";"Германия";"Финляндия";810
"167";"Кралев";1997-05-09;3883,5;"Lakkalikoori";"Напитки";"Eastern Connection";"Великобритания";"Финляндия";810
"168";"Крылова";1997-05-12;2589;"Lakkalikoori";"Напитки";"Lehmanns Marktstand";"Германия";"Финляндия";810
"169";"Крылова";1997-06-06;5178;"Lakkalikoori";"Напитки";"Frankenversand";"Германия";"Финляндия";810
"170";"Кротов";1997-08-29;7767;"Lakkalikoori";"Напитки";"Familia Arquibaldo";"Бразилия";"Финляндия";810
"171";"Воронова";1997-09-01;388,35;"Lakkalikoori";"Напитки";"Gourmet Lanchonetes";"Бразилия";"Финляндия";810
"172";"Крылова";1997-10-27;582,525;"Lakkalikoori";"Напитки";"Let's Stop N Shop";"США";"Финляндия";810
"173";"Воронова";1997-11-04;3883,5;"Lakkalikoori";"Напитки";"Queen Cozinha";"Бразилия";"Финляндия";810
"174";"Новиков";1997-11-07;3883,5;"Lakkalikoori";"Напитки";"Gourmet Lanchonetes";"Бразилия";"Финляндия";810
"175";"Бабкина";1997-11-24;7767;"Lakkalikoori";"Напитки";"Richter Supermarkt";"Швейцария";"Финляндия";810
"176";"Крылова";1997-12-19;3106,79998842627;"Lakkalikoori";"Напитки";"Queen Cozinha";"Бразилия";"Финляндия";810
"177";"Воронова";1997-12-29;4854,375;"Lakkalikoori";"Напитки";"Simons bistro";"Дания";"Финляндия";810
"178";"Белова";1998-01-15;4919,09999614209;"Lakkalikoori";"Напитки";"Tradiero Hipermercados";"Бразилия";"Финляндия";810
"179";"Кротов";1998-02-03;7767;"Lakkalikoori";"Напитки";"Berglunds snabbkop";"Швеция";"Финляндия";810
"180";"Кралев";1998-02-17;3689,32499710657;"Lakkalikoori";"Напитки";"Lehmanns Marktstand";"Германия";"Финляндия";810
"181";"Ясенева";1998-02-18;9061,5;"Lakkalikoori";"Напитки";"Koniglich Essen";"Германия";"Финляндия";810
"182";"Бабкина";1998-02-19;9320,4;"Lakkalikoori";"Напитки";"Hungry Owl All-Night Grocers";"Ирландия";"Финляндия";810
"183";"Воронова";1998-03-02;258,9;"Lakkalikoori";"Напитки";"Romero y tomillo";"Испания";"Финляндия";810
"184";"Крылова";1998-03-18;7767;"Lakkalikoori";"Напитки";"HILARION-Abastos";"Венесуэлла";"Финляндия";810
"185";"Новиков";1998-04-10;3883,5;"Lakkalikoori";"Напитки";"Santu Gourmet";"Норвегия";"Финляндия";810
"186";"Крылова";1998-05-01;776,7;"Lakkalikoori";"Напитки";"LILA-Supermercado";"Венесуэлла";"Финляндия";810
"187";"Воронова";1996-07-19;2880;"Sasquatch Ale";"Напитки";"Que Delicia";"Бразилия";"США";630
"188";"Воронова";1996-08-14;576;"Sasquatch Ale";"Напитки";"Romero y tomillo";"Испания";"США";630
"189";"Крылова";1996-08-21;14400;"Sasquatch Ale";"Напитки";"QUICK-Stop";"Германия";"США";630
"190";"Бабкина";1996-10-03;1440;"Sasquatch Ale";"Напитки";"Island Trading";"Великобритания";"США";630
"191";"Ясенева";1996-10-08;8567,99993991852;"Sasquatch Ale";"Напитки";"Save-a-lot Markets";"США";"США";630
"192";"Акбаев";1996-12-23;5183,99999141693;"Sasquatch Ale";"Напитки";"Ernst Handel";"Австрия";"США";630
"193";"Новиков";1996-12-30;4320;"Sasquatch Ale";"Напитки";"Save-a-lot Markets";"США";"США";630
"194";"Белова";1997-01-01;5040;"Sasquatch Ale";"Напитки";"Eastern Connection";"Великобритания";"США";630
"195";"Кралев";1997-01-23;6911,99997425079;"Sasquatch Ale";"Напитки";"Mere Paillarde";"Канада";"США";630
"196";"Бабкина";1997-02-12;1152;"Sasquatch Ale";"Напитки";"Berglunds snabbkop";"Швеция";"США";630
"197";"Крылова";1997-04-29;540;"Sasquatch Ale";"Напитки";"Cactus Comidas para llevar";"Аргентина";"США";630
"198";"Белова";1997-05-23;5400;"Sasquatch Ale";"Напитки";"Victuailles en stock";"Франция";"США";630
"199";"Воронова";1997-05-28;3059,99997854233;"Sasquatch Ale";"Напитки";"Furia Bacalhau e Frutos do Mar";"Португалия";"США";630
"200";"Новиков";1997-05-30;1080;"Sasquatch Ale";"Напитки";"Wartian Herkku";"Финляндия";"США";630
"201";"Воронова";1997-06-24;3600;"Sasquatch Ale";"Напитки";"B's Beverages";"Великобритания";"США";630
"202";"Белова";1997-07-02;3600;"Sasquatch Ale";"Напитки";"Que Delicia";"Бразилия";"США";630
"203";"Крылова";1997-07-04;720;"Sasquatch Ale";"Напитки";"Great Lakes Food Market";"США";"США";630
"204";"Новиков";1997-07-10;4050;"Sasquatch Ale";"Напитки";"Ernst Handel";"Австрия";"США";630
"205";"Крылова";1997-08-07;4859,99999195337;"Sasquatch Ale";"Напитки";"Frankenversand";"Германия";"США";630
"206";"Бабкина";1997-10-08;1215;"Sasquatch Ale";"Напитки";"LINO-Delicateses";"Венесуэлла";"США";630
"207";"Крылова";1997-10-28;3780;"Sasquatch Ale";"Напитки";"Que Delicia";"Бразилия";"США";630
"208";"Воронова";1997-11-13;5039,99998122454;"Sasquatch Ale";"Напитки";"White Clover Markets";"США";"США";630
"209";"Белова";1997-12-22;2700;"Sasquatch Ale";"Напитки";"Folies gourmandes";"Франция";"США";630
"210";"Белова";1998-01-08;3600;"Sasquatch Ale";"Напитки";"Split Rail Beer & Ale";"США";"США";630
"211";"Бабкина";1998-01-14;1440;"Sasquatch Ale";"Напитки";"Santu Gourmet";"Норвегия";"США";630
"212";"Кралев";1998-01-16;1080;"Sasquatch Ale";"Напитки";"Ernst Handel";"Австрия";"США";630
"213";"Крылова";1998-01-21;4049,99999329448;"Sasquatch Ale";"Напитки";"QUICK-Stop";"Германия";"США";630
"214";"Воронова";1998-02-02;720;"Sasquatch Ale";"Напитки";"Around the Horn";"Великобритания";"США";630
"215";"Кралев";1998-02-04;5400;"Sasquatch Ale";"Напитки";"Queen Cozinha";"Бразилия";"США";630
"216";"Кротов";1998-02-04;540;"Sasquatch Ale";"Напитки";"Wolski  Zajazd";"Польша";"США";630
"217";"Белова";1998-03-03;1800;"Sasquatch Ale";"Напитки";"Vaffeljernet";"Дания";"США";630
"218";"Крылова";1998-03-18;7200;"Sasquatch Ale";"Напитки";"HILARION-Abastos";"Венесуэлла";"США";630
"219";"Воронова";1998-04-06;2294,99998390675;"Sasquatch Ale";"Напитки";"Save-a-lot Markets";"США";"США";630
"220";"Новиков";1998-04-20;10800;"Sasquatch Ale";"Напитки";"Supremes delices";"Бельгия";"США";630
"221";"Белова";1998-04-21;4320;"Sasquatch Ale";"Напитки";"LINO-Delicateses";"Венесуэлла";"США";630
